source_concept_id,source_label,target_uri,target_label,relation,confidence,source_url,source_version
namT_cva_UiK,Entreprenadingenjör,http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f,arbetsledare inom bygg och anläggning,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
namT_cva_UiK,Entreprenadingenjör,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,"chef, bygg och anläggning",close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nb39_NDw_fNE,Biografmedarbetare,http://data.europa.eu/esco/occupation/7f346896-a4fb-47a1-9572-13398bc297a6,publikvärd,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nbQm_DXb_5vC,Författare,http://data.europa.eu/esco/occupation/b06a1dde-e5a1-4219-9491-2bedd0282e4b,författare,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
njXa_2sj_1ET,Mykolog,http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biolog,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nkRS_dP5_oTt,"Specialistläkare, klinisk farmakologi",http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,specialistläkare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nm6i_zmH_rEz,"ST-läkare, onkologi",http://data.europa.eu/esco/occupation/71f09c8b-a172-408c-b9e7-32e580e39ff6,läkare,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nvUH_JLD_s4F,Verkställande direktör/VD,http://data.europa.eu/esco/occupation/2c8a4b72-21f4-4ab1-9dbd-1cae779211b7,gallerichef,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nvUH_JLD_s4F,Verkställande direktör/VD,http://data.europa.eu/esco/occupation/45a28fe1-30a4-4175-af19-e451ada60858,"chef, kreditföretag",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nvUH_JLD_s4F,Verkställande direktör/VD,http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0,"chef, försäkringsbolag",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nvUH_JLD_s4F,Verkställande direktör/VD,http://data.europa.eu/esco/occupation/5c9dea76-c7da-4e58-857c-fc3cbe7b960a,"chef, bilverkstad",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nvUH_JLD_s4F,Verkställande direktör/VD,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,verkställande direktör,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nvUH_JLD_s4F,Verkställande direktör/VD,http://data.europa.eu/esco/occupation/73b10c97-b003-45dc-a36d-c1d585c04be1,social entreprenör,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
nvUH_JLD_s4F,Verkställande direktör/VD,http://data.europa.eu/esco/occupation/d0e85fe6-78e3-4218-b21a-99b75438b775,"chef, värdepappersbolag",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o2zh_wq4_3L7,"Stenmontör, utan yrkesbevis",http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,plattsättare,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o4Sk_4Jz_QGq,Lantmäterichef,http://data.europa.eu/esco/occupation/94e0bedd-e56e-42be-a5a4-b74a260f437c,avdelningschef,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o5mU_krL_1KT,Teknisk skribent/Teknikinformatör,http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c,teknisk kommunikatör,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o5p1_ZUZ_pab,Bussvärd,http://data.europa.eu/esco/occupation/ea034d66-0d35-4891-b82c-6434cad2c76f,tågvärd,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o7LP_duC_u9Z,Lastbilsmekaniker,http://data.europa.eu/esco/occupation/06bd6285-13ed-4ea7-90cc-e9638a0600a9,"fordonselektriker, bilbatteri",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o7LP_duC_u9Z,Lastbilsmekaniker,http://data.europa.eu/esco/occupation/6656337f-67eb-4f48-b1e4-ecccdfa44dd2,fordonselektriker,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o7LP_duC_u9Z,Lastbilsmekaniker,http://data.europa.eu/esco/occupation/c0749528-ee2a-41bd-a1f6-c13825b5e569,motorfordonsmekaniker,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o7SJ_LKE_wrS,Modell,http://data.europa.eu/esco/occupation/9af5fd79-d76e-4343-bc13-ff2d172aec62,mannekäng,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o7SJ_LKE_wrS,Modell,http://data.europa.eu/esco/occupation/d0341f2c-f797-4306-b847-411dee1058a9,konstmodell,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o88C_4FD_QDs,Musikterapeut,http://data.europa.eu/esco/occupation/3d616092-b4fd-4c14-b0e9-a9119bbbd171,musikterapeut,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o88C_4FD_QDs,Musikterapeut,http://data.europa.eu/esco/occupation/f9395e4d-d66f-49ce-a8f5-721991139e79,rekreationsterapeut,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o8W6_jkq_JoX,Forskningsadministratör,http://data.europa.eu/esco/occupation/55b4faa3-286f-4fc8-ac67-8bbb97d08820,utbildningsadministratör,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o8aU_Geg_vRm,"Båtman, Sjöfartsverket",http://data.europa.eu/esco/occupation/ee646fa1-3f09-4e43-9275-3aa958ca00ae,skeppare,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o8aU_Geg_vRm,"Båtman, Sjöfartsverket",http://data.europa.eu/esco/occupation/f2a416b8-c7e4-49ee-964d-a49f6af79b84,befälhavare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
o8dP_hY4_p8p,Maskinoperatör ytbehandling av trä,http://data.europa.eu/esco/occupation/44b0f118-2a70-4eec-b301-89d7fd84a3d0,"maskinoperatör, ytbehandling, trä",exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oAHt_G4F_Bya,Rörinfodrare,http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,rörmokare,close-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oBzD_Pym_iqC,Kiropraktor,http://data.europa.eu/esco/occupation/49e4e358-8ba3-4a05-8ef9-abb73156f5f7,kiropraktor,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
oBzD_Pym_iqC,Kiropraktor,http://data.europa.eu/esco/occupation/be235deb-6181-43ca-8127-7010a689643a,"kiropraktor, specialist",exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
