source_type,source_code,nuts_code,nuts_label,source_url,source_version
kommune,habmer,NO071,Nordland/Nordlánnda,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hadsel,NO071,Nordland/Nordlánnda,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,haegebostad,NO092,Agder,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,halden,NO083,Østfold,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hamar,NO020,Innlandet,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hammerfest,NO073,Finnmark/Finnmárku/Finmarkku,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,haram,NO0A3,Møre og Romsdal,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hareid,NO0A3,Møre og Romsdal,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,harstad,NO072,Troms/Romsa/Tromssa,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hasvik,NO073,Finnmark/Finnmárku/Finmarkku,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,haugesund,NO0A1,Rogaland,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,heim,NO060,Trøndelag/Trööndelage,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hemnes,NO071,Nordland/Nordlánnda,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hemsedal,NO085,Buskerud,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hitra,NO060,Trøndelag/Trööndelage,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hjartdal,NO094,Telemark,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hjelmeland,NO0A1,Rogaland,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
kommune,hol,NO085,Buskerud,https://data.ssb.no/api/klass/v1/classifications/131/codesAt.json,2026-08-23
